,Name,Artist,Date,Genre,GrammyAward,Energy,Danceability,Tempo,Valence,Peak.position,Weeks.on.chart,Avg.rank
254,SINGLE LADIES (PUT A RING ON IT),BEYONCÉ,2009,R&B,2,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
255,SLITHER,VELVET REVOLVER,2004,ROCK,1,0.974,0.478,141.077,0.268,56.0,20.0,66.47368421052632
256,SMOOTH,SANTANA ,1999,GENERAL,1,0.923,0.609,115.996,0.961,1.0,58.0,17.859649122807017
257,SMOOTH,SANTANA ,1999,POP,1,0.923,0.609,115.996,0.961,1.0,58.0,17.859649122807017
258,SO AMAZING,50 CENT,2005,R&B,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
259,SOLDIER OF LOVE,SADE,2010,R&B,1,0.95,0.498,192.563,0.889,52.0,11.0,72.72727272727273
260,SOLITARY MAN,JOHNNY CASH,2000,COUNTRY,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
261,SOMEBODY THAT I USED TO KNOW,GOTYE ,2012,POP,1,0.495,0.864,129.062,0.72,1.0,59.0,21.74576271186441
262,SOMEONE LIKE YOU,ADELE,2011,POP,1,0.319,0.556,135.187,0.294,1.0,39.0,21.615384615384617
263,SOMETHING,SNARKY PUPPY WITH LALAH HATHAWAY,2013,R&B,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
264,SOMETHING IN THE WATER,CARRIE UNDERWOOD,2014,COUNTRY,1,0.893,0.451,139.763,0.0971,24.0,20.0,47.35
265,SOMETIMES YOU CAN'T MAKE IT ON YOUR OWN,U2,2005,ROCK,1,0.597,0.53,96.0,0.346,97.0,3.0,98.33333333333333
266,SOUTHSIDE,COMMON ,2007,RAP,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
267,SPACE COWBOY,KACEY MUSGRAVES,2018,COUNTRY,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
268,ST. ANGER,METALLICA,2003,ROCK,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
269,STAY,SUGARLAND,2008,COUNTRY,1,0.284,0.549,135.632,0.389,32.0,20.0,50.55
270,STAY WITH ME (DARKCHILD VERSION),SAM SMITH,2014,GENERAL,2,0.42,0.418,84.094,0.184,2.0,54.0,23.35185185185185
271,STAY WITH ME (BY THE SEA),JOHN LEGEND,2008,R&B,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
272,STAYING POWER,BARRY WHITE,1999,R&B,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
273,STEVE MCQUEEN,SHERYL CROW,2002,ROCK,1,0.893,0.555,169.966,0.762,88.0,5.0,91.2
274,STRESSED OUT,TWENTY ONE PILOTS,2016,POP,1,0.637,0.734,169.977,0.648,2.0,52.0,29.423076923076923
275,STRONGER,KANYE WEST,2007,RAP,1,0.717,0.617,103.992,0.49,1.0,27.0,14.166666666666666
276,STUCK IN A MOMENT YOU CAN'T GET OUT OF,U2,2001,POP,1,0.0357,0.492,90.787,0.264,52.0,20.0,65.75
277,STUPID BOY,KEITH URBAN,2007,COUNTRY,1,0.609,0.5,145.884,0.562,43.0,20.0,62.15
278,SULTAN’S CURSE,MASTODON,2017,ROCK,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
279,SUNRISE,NORAH JONES,2004,POP,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
280,SUPERWOMAN,ALICIA KEYSS,2008,R&B,1,0.266,0.427,155.675,0.261,82.0,7.0,90.57142857142857
